nama_diet,deskripsi,target,prinsip utama,boleh_dikonsumsi,batasi_hindari,kelebihan_manfaat,kekurangan_risiko
Diet DASH,"Diet DASH adalah pola makan yang dirancang medis untuk menurunkan tekanan darah tanpa obat. Riset terbaru 2025 menunjukkan diet ini juga sangat efektif menurunkan kadar asam urat (mencegah Gout) dan risiko batu ginjal, selain manfaat utamanya bagi jantung.","{""minggu"":""0.5 - 1 kg"",""bulan"":""2 - 4 kg"",""durasi"":""Seumur hidup (Lifestyle)""}","[""Batasi natrium (Sodium) maksimal 2.300 mg (1 sdt garam) per hari. Untuk hipertensi berat, targetkan 1.500 mg."",""Tingkatkan asupan Kalium, Kalsium, dan Magnesium dari makanan alami (bukan suplemen)."",""Konsumsi 4-5 porsi sayur DAN 4-5 porsi buah setiap hari."",""Pilih biji-bijian utuh (whole grains) daripada karbohidrat olahan."",""Batasi daging merah dan gula tambahan secara ketat.""]","[""Sayuran hijau (Bayam, Kale) & Umbi-umbian (Ubi, Kentang)"",""Buah tinggi kalium (Pisang, Alpukat, Jeruk, Melon)"",""Susu/Yogurt rendah lemak (Low-fat Dairy)"",""Ikan kaya Omega-3 (Salmon, Kembung, Tuna)"",""Kacang-kacangan dan Biji-bijian (tanpa garam)""]","[""Makanan kaleng dan olahan beku (biasanya tinggi pengawet natrium)"",""Daging olahan (Sosis, Nugget, Kornet)"",""Ikan asin dan Telur asin"",""Camilan gurih (Keripik, Kerupuk)"",""Saus botolan (Kecap asin, Saus sambal, Teriyaki)""]",[],[]
Diet Defisit Kalori,Metode penurunan berat badan fundamental berbasis sains yang fokus pada keseimbangan energi negatif (Kalori Masuk &lt; Kalori Keluar). Riset 2025 menekankan &#39;Nutrient Density&#39; agar defisit tidak menurunkan metabolisme jangka panjang. Metode ini sangat terukur namun fleksibel karena tidak ada pantangan jenis makanan.,"{""minggu"":""0.5 - 0.8 kg"",""bulan"":""2 - 3.5 kg"",""durasi"":""12-16 minggu (untuk adaptasi metabolik yang aman)""}","[""Hitung TDEE (Total Daily Energy Expenditure) akurat, lalu kurangi 300-500 kkal (Defisit Moderat)."",""Wajib penuhi protein 1.6g - 2.0g per kg berat badan untuk mencegah penyusutan otot (Sarcopenia) saat defisit."",""Prioritaskan &#39;Volume Eating&#39;: Makanan rendah kalori tapi bervolume besar (sayuran, buah air tinggi) agar kenyang."",""Jangan minum kalori cair (minuman manis, kopi susu gula) karena tidak mengenyangkan."",""Tidur 7-9 jam/hari. Kurang tidur terbukti meningkatkan hormon lapar Ghrelin hingga 20%.""]","[""Protein Lean: Dada ayam, Putih telur, Tempe, Ikan putih"",""Karbohidrat Kompleks Serat Tinggi: Ubi jalar, Jagung, Nasi Merah"",""Sayuran Non-Starchy (Bebas makan): Bayam, Sawi, Timun, Selada"",""Lemak Sehat (Takar ketat): Minyak zaitun (spray), Alpukat (timbang)""]","[""Minyak Goreng Sawit (Kalori sangat padat, 1 sdm = 120 kkal)"",""Gula Tambahan & Sirup (Empty Calories)"",""Kue-kue manis & Pastry (Kombinasi gula+lemak tinggi)"",""Makanan Kemasan Ultra-Processed (Bikin cepat lapar lagi)""]",[],[]
Diet Mediterania,"Pola makan yang diadaptasi dari penduduk kawasan Blue Zone (Yunani, Italia Selatan). Diakui sebagai &#39;Diet Terbaik Dunia&#39; secara berturut-turut karena fleksibilitasnya. Riset 2025 menegaskan diet ini sebagai standar emas untuk kesehatan otak (mencegah Alzheimer), menjaga elastisitas pembuluh darah, dan memanjangkan telomer DNA (anti-aging).","{""minggu"":""0.2 - 0.5 kg"",""bulan"":""1 - 2 kg"",""durasi"":""Seumur hidup (Lifestyle)""}","[""Basis piramida: Sayuran, buah, biji-bijian, kacang-kacangan, dan lemak sehat."",""Lemak utama WAJIB dari Minyak Zaitun Extra Virgin (EVOO) - minimal 2-4 sdm per hari."",""Protein hewani utama: Ikan/Seafood (2-3x seminggu). Unggas/Telur/Dairy (porsi sedang)."",""Daging merah (sapi/kambing) dan gula dibatasi maksimal 1-2x per bulan."",""Bersifat komunal: Makan bersama keluarga/teman tanpa distraksi gadget.""]","[""Minyak Zaitun (EVOO) untuk dressing dan menumis"",""Ikan berlemak (Salmon, Kembung, Sarden, Tuna)"",""Kacang-kacangan (Walnut, Almond, Mete Panggang)"",""Legume/Polong (Kacang merah, Lentil, Chickpeas)"",""Rempah segar (Bawang putih, Oregano, Kemangi) pengganti garam""]","[""Minyak Sawit / Minyak Goreng Jelantah (Trans Fat)"",""Margarin dan Mentega olahan"",""Daging olahan (Sosis, Kornet, Burger)"",""Minuman bersoda dan jus buah kemasan"",""Roti putih dan karbohidrat rafinasi""]",[],[]
Diet Rendah Lemak,"Pola makan yang membatasi asupan lemak, terutama lemak jenuh dan lemak trans, hingga di bawah 20-30% dari total kalori harian. Diet ini sangat efektif untuk manajemen batu empedu, kolesterol tinggi, dan kesehatan jantung.","{""minggu"":""0.5 kg"",""bulan"":""2-4 kg"",""durasi"":""Sesuai kebutuhan medis atau gaya hidup sehat""}","[""Batasi asupan lemak total maksimal 20-30% dari kalori harian."",""Batasi lemak jenuh &lt;7% dan hindari lemak trans total."",""Pilih sumber protein rendah lemak seperti dada ayam tanpa kulit, ikan putih, dan putih telur."",""Ganti metode masak gorengan dengan rebus, kukus, pepes, atau panggang tanpa minyak."",""Hindari santan kental, mentega, margarin, dan jeroan."",""Perbanyak asupan serat dari buah dan sayur.""]","[""Karbohidrat: Nasi putih/merah, ubi, kentang rebus, oatmeal."",""Protein: Dada ayam tanpa kulit, ikan putih (kakap, nila, kembung), tempe/tahu (rebus/pepes), putih telur."",""Sayuran: Semua jenis sayuran yang dimasak tanpa santan/minyak banyak."",""Buah: Semua jenis buah-buahan segar.""]","[""Lemak Hewani: Kulit ayam, daging berlemak, jeroan, kuning telur (batasi)."",""Olahan Santan: Sayur lodeh, gulai, rendang santan kental."",""Gorengan: Bakwan, tempe goreng, ayam goreng tepung."",""Susu Full Cream: Keju cheddar, mentega, krim kental.""]",[],[]
Diet Tinggi Serat,"Pola makan yang mengutamakan asupan serat pangan (fiber) di atas 30-35 gram per hari. Serat membantu melancarkan pencernaan, mengikat kolesterol, dan menstabilkan gula darah. Sangat dianjurkan untuk penderita sembelit, batu empedu, dan diabetes.","{""minggu"":""0.5-1 kg"",""bulan"":""2-4 kg"",""durasi"":""Permanen (Gaya Hidup)""}","[""Tingkatkan asupan serat secara bertahap (misal tambah 5g per minggu) untuk memberi waktu bakteri usus beradaptasi."",""Targetkan asupan serat minimal 25-35 gram per hari (standar medis)."",""Pastikan asupan air putih minimal 2.5 - 3 liter per hari untuk mencegah konstipasi akibat serat."",""Pilih karbohidrat kompleks (utuh) daripada olahan."",""Konsumsi buah dengan kulitnya (jika bisa dimakan seperti apel/pir)."",""Sertakan sayuran di setiap waktu makan.""]","[""Biji-bijian: Beras merah, gandum utuh, oatmeal, jagung."",""Kacang-kacangan: Tempe, tahu, kacang hijau, kacang merah."",""Sayuran: Brokoli, buncis, wortel, bayam, daun singkong."",""Buah: Apel (dengan kulit), pir, pepaya, jambu biji, pisang.""]","[""Tepung Putih: Roti putih, mie instan, pasta putih."",""Minuman Manis: Soda, jus buah saring (tanpa ampas)."",""Makanan Olahan: Sosis, nugget, makanan kaleng rendah serat.""]",[],[]
Diet Tinggi Protein,"Pola makan yang memprioritaskan asupan protein tinggi untuk memaksimalkan efek termik (pembakaran kalori saat mencerna), menjaga massa otot saat defisit kalori, dan memberikan rasa kenyang paling lama. Metode ini efektif mencegah sarcopenia (kulit gelambir) saat berat badan turun drastis.","{""minggu"":""0.5 - 1 kg"",""bulan"":""2 - 4 kg"",""durasi"":""12-24 minggu (atau siklus on/off)""}","[""Target protein harian: 1.6 - 2.2 gram per kg berat badan (Contoh: BB 70kg butuh 112g - 154g protein)."",""Wajib ada 20-30g protein di SETIAP jam makan utama untuk memicu sintesis protein (Leucine Threshold)."",""Imbangi dengan serat tinggi (sayuran) untuk mencegah sembelit akibat asupan protein tinggi."",""Minum air 3-4 liter/hari untuk membantu ginjal membuang sisa metabolisme protein (urea).""]","[""Dada Ayam (Tanpa kulit), Ikan Kembung, Lele, Putih Telur"",""Tempe & Tahu (Superfood protein murah Indonesia)"",""Edamame, Kacang Hijau, Susu Kedelai"",""Yogurt Greek (Low Fat), Whey Protein Isolate"",""Daging Sapi (Potongan Has Dalam/Tenderloin)""]","[""Daging Olahan (Sosis merah, Kornet, Nugget curah) - tinggi pengawet"",""Jeroan berlemak tinggi (Usus, Babat)"",""Gorengan tepung (Protein tertutup lemak jenuh)"",""Minuman manis (Gula menghambat pembakaran lemak)""]",[],[]
Intermittent Fasting,"Pola makan yang fokus mengatur &#39;KAPAN&#39; Anda makan, bukan &#39;APA&#39; yang dimakan. Metode ini efektif memicu Autofagi (pembersihan sel rusak) dan memperbaiki sensitivitas insulin. Terdapat beberapa varian populer: 16/8 (Paling umum), 14/10 (Pemula/Wanita), dan 5:2 (Puasa 2 hari/minggu).","{""minggu"":""0.5 - 1 kg"",""bulan"":""2 - 3 kg"",""durasi"":""Jangka Panjang (Lifestyle)""}","[""Disiplin Jendela Makan: Hanya boleh mengonsumsi kalori di waktu yang ditentukan (Eating Window)."",""Fase Puasa Bersih (Clean Fast): Selama jam puasa HANYA boleh minum air mineral, teh hijau tawar, atau kopi hitam. Gula/susu membatalkan autofagi."",""Konsistensi Ritme Sirkadian: Usahakan jendela makan dilakukan saat matahari masih bersinar (misal 10.00-18.00) untuk sinkronisasi metabolisme."",""Jangan &#39;Balas Dendam&#39; (Binge Eating) saat buka puasa. Tetap makan dengan porsi normal dan nutrisi seimbang."",""Autofagi mulai aktif setelah 16 jam puasa, membantu perbaikan sel tubuh.""]","[""Makanan Padat Nutrisi: Protein tinggi (ayam, ikan, tempe) agar kenyang selama puasa."",""Serat Tinggi: Sayuran hijau dan biji-bijian agar gula darah stabil."",""Lemak Sehat: Alpukat, minyak zaitun untuk energi tahan lama."",""Minuman 0 Kalori (Saat Puasa): Air, Teh Tawar, Kopi Hitam, Cuka Apel.""]","[""Minuman Manis saat puasa (Jus, Sirup, Kopi Susu) - MEMBATALKAN PUASA."",""Makanan Indeks Glikemik Tinggi (Roti putih, kue) saat buka puasa pertama (membuat ngantuk/sugar crash)."",""Makan berlebihan melebihi TDEE saat jendela makan.""]",[],[]
Diet Keto (Ketogenik),"Pola makan ekstrem rendah karbohidrat dan tinggi lemak yang mengubah metabolisme tubuh menjadi pembakar lemak (ketosis). Riset 2025 menyoroti manfaatnya untuk gangguan neurologis dan penurunan berat badan cepat, namun memberi peringatan keras terkait risiko kolesterol LDL pada individu tertentu.","{""minggu"":""1 - 1.5 kg"",""bulan"":""4 - 6 kg"",""durasi"":""1-3 bulan (Disarankan &#39;Cycling Keto&#39; setelahnya)""}","[""Batasi Karbohidrat Netto &lt; 20-50 gram per hari (Setara 1 buah pisang)."",""Rasio Makro: Lemak (70-75%), Protein (20%), Karbohidrat (5-10%)."",""Pantang total gula pasir, tepung terigu, beras, dan umbi-umbian."",""Fokus pada lemak alami (bukan trans fat): Minyak kelapa, lemak hewan, alpukat."",""Wajib konsumsi elektrolit (Natrium, Kalium, Magnesium) untuk mencegah &#39;Keto Flu&#39;.""]","[""Lemak Hewani: Kulit ayam, tetelan daging, lemak sapi."",""Seafood Berlemak: Ikan kembung, patin, salmon, kerang."",""Produk Turunan Susu: Keju (Cheddar/Mozzarella), Butter, Heavy Cream."",""Sayuran Rendah Karbo: Bayam, kangkung, brokoli, kembang kol, timun."",""Camilan Keto: Kerupuk kulit sapi (jangek), telur rebus, alpukat."",""Minyak: VCO, Minyak Zaitun, Minyak Barco (Kelapa).""]","[""Semua Sumber Pati: Nasi, mie, roti, kentang, singkong, jagung."",""Buah Manis: Mangga, pisang, anggur, pepaya (hanya boleh beri-berian & alpukat)."",""Gula Tersembunyi: Kecap manis, saus botolan, bumbu instan dengan gula."",""Susu Sapi Cair (Laktosa = Gula Susu). Ganti dengan santan atau almond milk.""]",[],[]
Diet Rendah Karbohidrat,"Pola makan yang membatasi asupan karbohidrat (gula, pati, tepung) untuk menstabilkan insulin dan gula darah. Riset 2025 menegaskan LCD sebagai metode paling efektif dan aman untuk manajemen Diabetes Tipe 2 jangka panjang dibandingkan diet ekstrem lainnya, serta efektif mengurangi lemak visceral (perut buncit).","{""minggu"":""0.5 - 0.8 kg"",""bulan"":""2 - 3 kg"",""durasi"":""Jangka Panjang (Sustainable Lifestyle)""}","[""Batasi total karbohidrat harian 50 - 130 gram (Bukan nol karbo)."",""Fokus pada &#39;Net Carbs&#39; (Total Karbo - Serat). Serat tidak dihitung karena tidak menaikkan gula darah."",""Ganti sumber energi dari gula menjadi lemak sehat dan protein moderat."",""Hindari &#39;White Poison&#39;: Gula pasir, Tepung terigu, dan Nasi putih porsi besar."",""Prioritaskan sayuran yang tumbuh di atas tanah (bayam, brokoli, buncis).""]","[""Protein Hewani: Ikan, Ayam, Daging Sapi, Telur, Seafood."",""Sayuran Non-Starchy: Sawi, Kangkung, Terong, Gambas, Labu Siam."",""Lemak Alami: Alpukat, Minyak Kelapa, Zaitun, Santan."",""Buah Rendah Gula: Stroberi, Alpukat, Jambu Kristal (porsi kecil)."",""Pengganti Nasi: Nasi Shirataki (Konnyaku), Nasi Kembang Kol (Cauliflower Rice)."",""Camilan: Keripik Kulit Sapi/Ikan (Pastikan TANPA lapisan tepung).""]","[""Karbohidrat Olahan: Roti putih, Pasta, Mie instan, Biskuit."",""Minuman Manis: Soda, Boba, Jus buah kemasan, Kopi gula aren."",""Sayuran Pati Tinggi (Batasi): Kentang, Ubi, Jagung manis."",""Buah Manis Tinggi Fruktosa: Mangga, Anggur, Kelengkeng, Durian, Nangka, Cempedak.""]",[],[]
Diet Rendah Purin,Pola makan terapeutik untuk menurunkan kadar asam urat dalam darah dengan membatasi asupan purin (zat yang dipecah menjadi asam urat). Fokus utamanya menyeimbangkan nutrisi untuk membantu ginjal membuang kristal asam urat dan mencegah serangan gout yang menyakitkan.,"{""minggu"":""0.5 kg"",""bulan"":""1 - 2 kg"",""durasi"":""Seumur Hidup (bagi penderita Hiperurisemia)""}","[""Batasi Purin Hewani: Stop total jeroan (hati, usus), sarden, teri, dan kerang."",""Hidrasi Maksimal: Minum 2.5 - 3 liter air per hari untuk &#39;membilas&#39; kristal asam urat via urin."",""Vitamin C Urikosurik: Konsumsi ~500mg Vitamin C (jeruk, jambu, ceri) untuk membantu ginjal membuang asam urat."",""Lemak Moderat: Hindari gorengan/santan kental berulang, karena lemak tinggi menghambat ekskresi asam urat."",""Purin Nabati Aman: Tempe, tahu, dan kacang-kacangan BOLEH dimakan wajar (purinnya tidak seagresif hewani).""]","[""Protein Paling Aman: Telur, Susu rendah lemak, Yogurt, Keju."",""Karbohidrat Kompleks: Nasi merah, Kentang, Jagung, Singkong, Roti gandum."",""Sayuran Rendah Purin: Wortel, Labu siam, Timun, Tomat."",""Buah Tinggi Vitamin C: Jeruk, Jambu, Kiwi, Stroberi, Ceri."",""Minuman: Air putih (wajib banyak), Kopi hitam (wajar).""]","[""Jeroan Total: Hati, usus, limpa, otak, babat."",""Seafood Tinggi Purin: Kerang, udang, kepiting, sarden kaleng, ikan teri."",""Daging Merah Berlemak: Kambing, sapi (batasi ketat)."",""Sayuran Purin Sedang (Batasi): Bayam, kangkung, daun singkong, asparagus, kembang kol, jamur."",""Gula Fruktosa: Sirup jagung, soda manis, jus buah kemasan (memicu asam urat)."",""Alkohol: Bir dan ragi (musuh utama penderita gout).""]",[],[]
Diet Vegan,"Pola makan yang sepenuhnya menghindari semua produk hewani, termasuk daging, ikan, telur, susu, dan madu. Diet ini fokus pada makanan nabati seperti sayuran, buah, biji-bijian, kacang-kacangan, dan polong-polongan.","{""minggu"":""0.5-1 kg"",""bulan"":""2-4 kg"",""durasi"":""Jangka Panjang (Lifestyle)""}","[""Menghindari 100% produk hewani dan turunannya"",""Fokus pada keanekaragaman makanan nabati (whole foods)"",""Perhatikan asupan Vitamin B12, Zat Besi, dan Kalsium yang sering kurang"",""Mengganti protein hewani dengan tahu, tempe, dan kacang-kacangan""]","[""Semua jenis sayuran dan buah-buahan"",""Kacang-kacangan (kedelai, almond, mete)"",""Biji-bijian (beras merah, oat, quinoa)"",""Polong-polongan (kacang hijau, kacang merah)"",""Produk olahan nabati (tahu, tempe, oncom)"",""Susu nabati (susu kedelai, almond, oat)""]","[""Daging merah (sapi, kambing)"",""Unggas (ayam, bebek)"",""Ikan dan seafood"",""Telur dan produk olahannya"",""Susu hewan dan produk turunannya (keju, yogurt, mentega)"",""Madu dan gelatin hewani""]",[],[]