nama,kategori,deskripsi,estimasi_kalori,manfaat utama,met_details
Berenang,Kardio,"Olahraga kardio full-body yang membakar kalori tinggi tanpa membebani sendi (zero impact). Resistansi air melatih seluruh otot tubuh, terutama bahu, punggung, dan core, sekaligus meningkatkan kapasitas paru-paru.","{""ringan"":420,""sedang"":581,""tinggi"":840}","[""Mewajibkan seluruh tubuh bekerja melawan resistansi air untuk pembakaran maksimal"",""Sangat aman untuk sendi (low/zero impact), ideal untuk pemulihan cedera"",""Meningkatkan VO2 Max dan kapasitas paru-paru secara signifikan"",""Menurunkan detak jantung istirahat dan tekanan darah secara jangka panjang"",""Membakar lebih banyak kalori dibanding lari dengan intensitas yang sama""]","[{""tipe"":""santai"",""met"":6},{""tipe"":""freestyle moderate"",""met"":8.3},{""tipe"":""freestyle fast"",""met"":10},{""tipe"":""backstroke"",""met"":7},{""tipe"":""breaststroke"",""met"":10.3},{""tipe"":""butterfly"",""met"":13.8}]"
Bersepeda,Kardio,"Aktivitas kardio *low-impact* yang efisien membakar kalori dan melatih otot kaki (quadriceps, hamstring, betis). Karena beban tubuh ditopang sepeda, olahraga ini aman bagi sendi lutut dan cocok untuk pemilik berat badan berlebih.

### Variasi &amp; Target Otot
* **Road Cycling**: Fokus pada *endurance* dan kecepatan; membakar kalori tinggi secara konsisten.
* **Mountain Biking (MTB)**: Melatih *explosive power* dan tubuh bagian atas (core, bahu) untuk keseimbangan di medan berat.
* **Sepeda Statis (Spinning)**: Kontrol intensitas penuh, aman dari risiko kecelakaan lalu lintas, efektif untuk pembakaran lemak steady-state.","{""ringan"":280,""sedang"":560,""tinggi"":840}","[""Meningkatkan kesehatan kardiovaskular secara signifikan tanpa membebani persendian lutut"",""Membangun dan mengencangkan otot tubuh bawah (Quad, Hamstring, Glutes)"",""Risiko cedera persendian (osteoarthritis) jauh lebih rendah dibandingkan lari jarak jauh"",""Paparan sinar matahari dan udara segar (outdoor) efektif menurunkan tingkat stres"",""Transportasi aktif: Mengubah waktu perjalanan macet menjadi sesi pembakaran kalori""]","[{""tipe"":""santai"",""met"":4},{""tipe"":""komuter"",""met"":6.8},{""tipe"":""sedang"",""met"":8},{""tipe"":""cepat"",""met"":10},{""tipe"":""sangat cepat"",""met"":12},{""tipe"":""balapan"",""met"":16.8},{""tipe"":""mtb general"",""met"":8.5},{""tipe"":""mtb uphill"",""met"":14}]"
Bulutangkis (Badminton),olahraga permainan,"Olahraga raket tercepat di dunia yang sangat populer di Indonesia. Melibatkan gerakan eksplosif, lari jarak pendek (sprint), melompat, dan refleks cepat. Sangat efektif melatih kelincahan (agility), koordinasi mata-tangan, dan daya tahan kardiovaskular.","{""ringan"":315,""sedang"":385,""tinggi"":630}","[""Meningkatkan kelincahan dan refleks motorik secara drastis"",""Melatih koordinasi mata dan tangan (hand-eye coordination)"",""Aspek sosial yang kuat (permainan ganda/double)"",""Melatih otot kaki (betis, paha) dan bokong karena banyak gerakan lunges/lompat"",""Meningkatkan denyut jantung ke zona anaerobik (HIIT alami)""]","[{""tipe"":""santai"",""met"":4.5},{""tipe"":""sosial"",""met"":5.5},{""tipe"":""kompetitif"",""met"":9}]"
Futsal / Sepak Bola,olahraga tim,"Olahraga tim paling populer yang mengkombinasikan lari interval (sprint-jogging), ketahanan fisik (endurance), dan kerjasama tim. Futsal memiliki intensitas lebih tinggi per menit dibanding sepak bola lapangan besar karena bola hampir tidak pernah berhenti bergulir.","{""ringan"":490,""sedang"":595,""tinggi"":800}","[""Membangun kerjasama tim (teamwork) dan komunikasi sosial"",""Meningkatkan stamina kardiovaskular (VO2 Max)"",""Melatih kelincahan kaki (agility) dan keseimbangan"",""Memperkuat otot tubuh bagian bawah (kaki, paha, inti tubuh)"",""Melatih pengambilan keputusan cepat di bawah tekanan""]","[{""tipe"":""latihan"",""met"":4},{""tipe"":""main biasa"",""met"":7},{""tipe"":""kompetitif"",""met"":10}]"
HIIT Cardio,Kardio,HIIT adalah metode latihan efisiensi tinggi yang menggabungkan burst aktivitas maksimal dengan periode istirahat singkat. Riset 2025 membuktikan HIIT tidak hanya membakar lemak visceral tetapi juga memicu perubahan epigenetik yang memperlambat penuaan seluler (anti-aging).,"{""ringan"":550,""sedang"":750,""tinggi"":950}","[""Memicu EPOC (Afterburn Effect) hingga 24 jam pasca-latihan (bakar kalori saat tidur)"",""Meningkatkan VO2 Max lebih cepat dibanding kardio steady-state"",""Anti-Aging: Memengaruhi marker epigenetik untuk peremajaan sel otot"",""Mengurangi lemak visceral (perut) secara spesifik"",""Sangat efisien: 20 menit HIIT setara manfaat 45-60 menit jogging santai""]","[{""tipe"":""low impact hiit"",""met"":8},{""tipe"":""standard hiit"",""met"":11},{""tipe"":""tabata"",""met"":14},{""tipe"":""sprint interval"",""met"":16}]"
Jalan Kaki,Kardio,"Jalan kaki adalah aktivitas low-impact paling fundamental yang dapat dilakukan siapa saja. Riset 2025 mengonfirmasi bahwa berjalan kaki minimal 7.000 langkah per hari secara signifikan mengurangi risiko kematian dini dan penurunan kognitif, menjadikannya &#39;obat&#39; pencegah penyakit paling murah dan efektif.","{""ringan"":185,""sedang"":280,""tinggi"":370}","[""Menurunkan risiko penyakit jantung koroner hingga 19% (pada 30 menit/hari)"",""Mencegah demensia dan meningkatkan volume hipokampus otak"",""Menstabilkan gula darah post-prandial (setelah makan)"",""Meningkatkan sintesis Vitamin D alami (jika dilakukan outdoor pagi hari)"",""Terapi alami untuk kecemasan ringan dan depresi (mood booster)""]","[{""tipe"":""jalan santai"",""met"":2.5},{""tipe"":""jalan normal"",""met"":3.5},{""tipe"":""jalan cepat"",""met"":5},{""tipe"":""hiking ringan"",""met"":6}]"
Lari / Jogging,Kardio,"Lari atau jogging adalah aktivitas aerobik high-impact yang paling efisien membakar kalori. Riset 2025 menunjukkan bahwa lari rutin menstimulasi neurogenesis (pertumbuhan sel otak baru) yang meningkatkan memori dan fokus, selain manfaat kardiovaskular utamanya.","{""ringan"":420,""sedang"":600,""tinggi"":875}","[""Meningkatkan VO2 Max dan efisiensi pompa jantung secara signifikan"",""Membakar ~1 kkal per kg berat badan per kilometer (sangat efisien untuk fat loss)"",""Memicu pelepasan BDNF (Brain-Derived Neurotrophic Factor) untuk kesehatan otak"",""Runner&#39;s High: Lonjakan endorfin dan endocannabinoid alami pereda stres"",""Meningkatkan kepadatan tulang kaki dan panggul (efek high-impact)""]","[{""tipe"":""jalan cepat"",""met"":6},{""tipe"":""jogging"",""met"":8.3},{""tipe"":""lari sedang"",""met"":11},{""tipe"":""lari cepat"",""met"":12.5},{""tipe"":""sprint"",""met"":16}]"
Latihan Kekuatan / Angkat Beban,kekuatan,"Latihan kekuatan adalah aktivitas menggunakan resistensi (beban, *bodyweight*, atau *resistance band*) untuk meningkatkan kekuatan muskuloskeletal. Riset terbaru (2024-2025) menunjukkan bahwa latihan ini tidak hanya membangun massa otot, tetapi juga dapat memperlambat penuaan biologis hingga 4 tahun dan meningkatkan fungsi kognitif (*neuroprotektif*).

### Jenis Latihan &amp; Fokus
* **Compound Movements** (Squat, Deadlift, Bench Press): Melibatkan banyak sendi dan otot sekaligus, membakar kalori tertinggi dan memicu respons hormon anabolik alami.
* **Isolation Movements** (Bicep Curl, Leg Extension): Fokus pada satu otot spesifik, efektif untuk memperbaiki ketidakseimbangan otot atau estetika (hipertrofi).
* **Bodyweight/Calisthenics** (Push-up, Pull-up): Menggunakan berat tubuh sendiri sebagai beban, sangat fleksibel untuk dilakukan di mana saja.","{""ringan"":245,""sedang"":350,""tinggi"":420}","[""Meningkatkan massa otot (hipertrofi) yang memacu metabolisme basal (BMR) bekerja 24 jam"",""Memperlambat penuaan biologis hingga ~4 tahun dan meningkatkan healthspan (Riset 2024)"",""Meningkatkan fungsi eksekutif otak dan memori melalui neuroplastisitas"",""Meningkatkan kepadatan mineral tulang secara signifikan untuk mencegah osteoporosis"",""Menurunkan risiko kematian dini (*all-cause mortality*) hingga 10-17%""]","[{""tipe"":""ringan"",""met"":3.5},{""tipe"":""sedang"",""met"":5},{""tipe"":""berat"",""met"":6},{""tipe"":""circuit training"",""met"":8}]"
Pekerjaan Rumah Tangga,Kardio,"Jangan remehkan kekuatan &#39;NEAT&#39; (Non-Exercise Activity Thermogenesis). Membersihkan rumah secara menyeluruh bisa membakar kalori setara sesi gym ringan, sekaligus membuat rumah nyaman. Solusi terbaik bagi yang sibuk dan &#39;tidak sempat olahraga&#39;.","{""ringan"":175,""sedang"":245,""tinggi"":400}","[""Rumah bersih, pikiran tenang (mengurangi stres visual)"",""Meningkatkan NEAT (pembakaran kalori harian di luar olahraga)"",""Efisien waktu: Produktif sambil membakar lemak"",""Melatih fungsionalitas tubuh (jongkok, jangkau, angkat) yang berguna di usia tua""]","[{""tipe"":""menyetrika"",""met"":2.3},{""tipe"":""memasak"",""met"":2.5},{""tipe"":""menyapu"",""met"":3.5},{""tipe"":""mengepel"",""met"":4.5},{""tipe"":""berkebun"",""met"":5}]"
Senam Aerobik / Zumba,Kardio,Latihan kardio yang menyenangkan memadukan gerakan tarian dengan musik upbeat. Sangat populer di kalangan wanita dan komunitas karena elemen sosialnya. Efektif membakar lemak seluruh tubuh (full body workout) sambil menghilangkan stres.,"{""ringan"":350,""sedang"":490,""tinggi"":600}","[""Penghilang stres (Mood Booster) paling efektif karena musik dan tarian"",""Komunitas yang suportif (Sanggar senam / Car Free Day)"",""Meningkatkan kesehatan jantung dan paru-paru"",""Meningkatkan koordinasi tubuh dan ritme (memori gerak)"",""Membakar lemak merata (lengan, perut, paha)""]","[{""tipe"":""low impact"",""met"":5},{""tipe"":""high impact"",""met"":7.3},{""tipe"":""zumba"",""met"":6.5}]"
Yoga,fleksibilitas,"Yoga adalah praktik mind-body holistik yang menggabungkan asana (postur fisik), pranayama (teknik pernapasan), dan dhyana (meditasi). Berdasarkan riset 2024, yoga tidak hanya meningkatkan fleksibilitas tetapi juga efektif menurunkan kadar kortisol (hormon stres), meningkatkan kesehatan metabolik, dan memperbaiki postur. Intensitas bervariasi dari Restorative (ringan) hingga Power Yoga (tinggi).","{""ringan"":180,""sedang"":300,""tinggi"":420}","[""Menurunkan level kortisol dan meredakan gejala kecemasan (Anxiety)"",""Meningkatkan fleksibilitas myofascial dan range of motion sendi"",""Meningkatkan variabilitas detak jantung (HRV) untuk kesehatan kardiovaskular"",""Memperbaiki postur tubuh dan keseimbangan proprioseptif"",""Meningkatkan kualitas tidur dan meredakan insomnia melalui aktivasi parasimpatik""]","[{""tipe"":""restorative"",""met"":2},{""tipe"":""hatha"",""met"":2.5},{""tipe"":""vinyasa"",""met"":4},{""tipe"":""power yoga"",""met"":5.8},{""tipe"":""hot yoga"",""met"":6.5},{""tipe"":""surya namaskar"",""met"":3.8}]"